Urdu,Latin
پڑھانا,pardhana
سیکھنا,sikhna
سیکھانا,sikhana
لکھنا,likhna
پکانا,pakana
سونا,sona
جانا,jana
کہنا,kehna
بیچنا,baichna
بھاگنا,bhagna
اٹھنا,uthna
سننا,sunna
رہنا,rehna
بولنا,bolna
آنا,aana
جیتنا,jeetna
سمجھانا,samjhana
بتانا,batana
بھیجنا,bheijna
دکھنا,dikhna
کروانا,krwana
کھلانا,khilana
سمجھنا,samjhana
بھولنا,bhoolna
بلانا,bulana
کھونا,khona
چھوڑنا,chordna
بنوانا,banwana
پکوانا,pakwana
دھلوانا,dhulwana
نہلانا,nehlana
لکھوانا,likhwana
سلانا,silana
کٹوانا,katwana
سنانا,sunana
پہنچاتا,pohanchata
سمبھالتا,sambhalta
خریدتا,khareedta
لیتا,leta
چھپاتا,chupata
بانٹتا,baantta
باندھتا,bandhta
گھورتا,ghoorta
دیتا,deta
گزارتا,guzarta
ڈھونڈتا,dhoondta
ہوتا,hota
چیختا,cheekhta
مناتا,manata
ملتا,milta
گرتا,girta
سکھاتا,sikhata
لگاتا,lagata
پھینکتا,phaikta
ہارتا,harta
دھکیلتا,dhakailta
کھینچتا,khainchta
پھسلتا,phisalta
پکڑتا,pakardta
نچوڑتا,nachordta
چھوتا,choota
بناتا,banata
کاٹتا,kaatta
مڑتا,murdta
رکھتا,rakhta
کھیلتا,khailta
چلتا,chalta
لپیٹتا,lapaitta
چھیلتا,cheelta
کرتا,krta
پھنستا,phansta
ڈرتا,darta
لٹکاتا,latkata
کھجاتا,khujata
گھستا,ghusta
اٹھاتا,uthata
بیٹھتا,bhaithta
جھکتا,jhukta
اڑتا,urdta
بہتا,behta
سلتا,silta
مارتا,marta
چباتا,chabata
نگلتا,nigalta
چوستا,choosta
کھودتا,khodta
ٹکراتا,takrata
ٹھہرتا,theharta
پھیلتا,phailta
ڈوبتا,doobta
جھٹکتا,jhatkta
کھولتا,kholta
پلٹاتا,palatata
پلٹتا,palatta
پھیلاتا,phelata
تیرتا,tairta
چھڑکتا,chiradkta
پرکھتا,prakhta
لڑتا,lardta
بہکاتا,behkata
مانگتا,mangta
ابالتا,ubalta
موڑتا,mordta
لاتا,lata
جنتا,janta
دیکھتا,deikhta
شرماتا,sharmata
کھلتا,khilta
جلتا,jalta
جلاتا,jalata
دھندلاتا,dhudlata
کستا,kasta
جتاتا,jatata
پوچھتا,puchta
جگاتا,jagata
سراہتا,srahta
ٹالتا,taalta
بچتا,baichta
جاگتا,jagta
بغشتا,bakhashta
کھاتا,khata
پیتا,pita
دھوتا,dhota
نہاتا,nahata
پڑھتا,pardhta
پڑھاتا,pardhata
سیکھتا,sikhta
سیکھاتا,sikhata
لکھتا,likhta
پکاتا,pakata
سوتا,sota
جاتا,jata
کہتا,kehta
بیچتا,baichta
بھاگتا,bhagta
اٹھتا,uthta
سنتا,sunta
رہتا,rehta
بولتا,bolta
آتا,aata
جیتتا,jeetta
سمجھاتا,samjhata
بتاتا,batata
بھیجتا,bheijta
دکھتا,dikhta
کرواتا,krwata
کھلاتا,khilata
سمجھتا,samjhata
بھولتا,bhoolta
بلاتا,bulata
کھوتا,khota
چھوڑتا,chordta
بنواتا,banwata
پکواتا,pakwata
دلواتا,dhulwata
نہلاتا,nehlata
لکھواتا,likhwata
سلاتا,silata
کٹواتا,katwata
سناتا,sunata
لیٹتا,leitta
پہنچاتی,pohanchati
سمبھالتی,sambhalti
خریدتی,khareedti
لیتی,leti
چھپاتی,chupati
بانٹتی,baantti
باندھتی,bandhti
گھورتی,ghoorti
دیتی,deti
گزارتی,guzarti
ڈھونڈتی,dhoondti
ہوتی,hoti
چیختی,cheekhti
مناتی,manati
ملتی,milti
گرتی,girti
سکھاتی,sikhati
لگاتی,lagati
پھینکتی,phaikti
ہارتی,harti
دھکیلتی,dhakailti
کھینچتی,khainchti
پھسلتی,phisalti
پکڑتی,pakardti
نچوڑتی,nachordti
چھوتی,chooti
بناتی,banati
کاٹتی,kaatti
مڑتی,murdti
رکھتی,rakhti
کھیلتی,khailti
چلتی,chalti
لپیٹتی,lapaitti
چھیلتی,cheelti
کرتی,krti
پھنستی,phansti
ڈرتی,darti
لٹکاتی,latkati
کھجاتی,khujati
گھستی,ghusti
اٹھاتی,uthati
بیٹھتی,bhaithti
جھکتی,jhukti
اڑتی,urdti
بہتی,behti
سلتی,silti
مارتی,marti
چباتی,chabati
نگلتی,nigalti
چوستی,choosti
کھودتی,khodti
ٹکراتی,takrati
ٹھہرتی,theharti
پھیلتی,phailti
ڈوبتی,doobti
جھٹکتی,jhatkti
کھولتی,kholti
پلٹاتی,palatati
پلٹتی,palatti
پھیلاتی,phelati
تیرتی,tairti
چھڑکتی,chiradkti
پرکھتی,prakhti
لڑتی,lardti
بہکاتی,behkati
مانگتی,mangti
ابالتی,ubalti
موڑتی,mordti
لاتی,lati
جنتی,janti
دیکھتی,deikhti
شرماتی,sharmati
کھلتی,khilti
جلتی,jalti
جلاتی,jalati
دھندلاتی,dhudlati
کستی,kasti
جتاتی,jatati
پوچھتی,puchti
جگاتی,jagati
سراہتی,srahti
ٹالتی,taalti
بچتی,baichti
جاگتی,jagti
بغشتی,bakhashti
کھاتی,khati
پیتی,piti
دھوتی,dhoti
نہاتی,nahati
پڑھتی,pardhti
پڑھاتی,pardhati
سیکھتی,sikhti
سیکھاتی,sikhati
لکھتی,likhti
پکاتی,pakati
سوتی,soti
جاتی,jati
کہتی,kehti
بیچتی,baichti
بھاگتی,bhagti
اٹھتی,uthti
سنتی,sunti
رہتی,rehti
بولتی,bolti
آتی,aati
جیتتی,jeetti
سمجھاتی,samjhati
بتاتی,batati
بھیجتی,bheijti
دکھتی,dikhti
کرواتی,krwati
کھلاتی,khilati
سمجھتی,samjhati
بھولتی,bhoolti
بلاتی,bulati
کھوتی,khoti
چھوڑتی,chordti
بنواتی,banwati
پکواتی,pakwati
دلواتی,dhulwati
نہلاتی,nehlati
لکھواتی,likhwati
سلاتی,silati
کٹواتی,katwati
سناتی,sunati
لیٹتی,leitti
پہنچاتے,pohanchate
سمبھالتے,sambhalte
خریدتے,khareedte
لیتے,lete
چھپاتے,chupate
بانٹتے,baantte
باندھتے,bandhte
گھورتے,ghoorte
دیتے,dete
گزارتے,guzarte
ڈھونڈتے,dhoondte
ہوتے,hote
چیختے,cheekhte
مناتے,manate
ملتے,milte
گرتے,girte
سکھاتے,sikhate
لگاتے,lagate
پھینکتے,phaikte
ہارتے,harte
دھکیلتے,dhakailte
کھینچتے,khainchte
پھسلتے,phisalte
پکڑتے,pakardte
نچوڑتے,nachordte
چھوتے,choote
بناتے,banate
کاٹتے,kaatte
مڑتے,murdte
رکھتے,rakhte
کھیلتے,khailte
چلتے,chalte
لپیٹتے,lapaitte
چھیلتے,cheelte
کرتے,krte
پھنستے,phanste
ڈرتے,darte
لٹکاتے,latkate
کھجاتے,khujate
گھستے,ghuste
اٹھاتے,uthate
بیٹھتے,bhaithte
جھکتے,jhukte
اڑتے,urdte
بہتے,behte
سلتے,silte
مارتے,marte
چباتے,chabate
نگلتے,nigalte
چوستے,chooste
کھودتے,khodte
ٹکراتے,takrate
ٹھہرتے,theharte
پھیلتے,phailte
ڈوبتے,doobte
جھٹکتے,jhatkte
کھولتے,kholte
پلٹاتے,palatate
پلٹتے,palatte
پھیلاتے,phelate
تیرتے,tairte
چھڑکتے,chiradkte
پرکھتے,prakhte
لڑتے,lardte
بہکاتے,behkate
مانگتے,mangte
ابالتے,ubalte
موڑتے,mordte
لاتے,late
جنتے,jante
دیکھتے,deikhte
شرماتے,sharmate
کھلتے,khilte
جلتے,jalte
جلاتے,jalate
دھندلاتے,dhudlate
کستے,kaste
جتاتے,jatate
پوچھتے,puchte
جگاتے,jagate
سراہتے,srahte
ٹالتے,taalte
بچتے,baichte
جاگتے,jagte
بغشتے,bakhashte
کھاتے,khate
پیتے,pite
دھوتے,dhote
نہاتے,nahate
پڑھتے,pardhte
پڑھاتے,pardhate
سیکھتے,sikhte
سیکھاتے,sikhate
لکھتے,likhte
پکاتے,pakate
سوتے,sote
جاتے,jate
کہتے,kehte
بیچتے,baichte
بھاگتے,bhagte
اٹھتے,uthte
سنتے,sunte
رہتے,rehte
بولتے,bolte
آتے,aate
جیتتے,jeette
سمجھاتے,samjhate
بتاتے,batate
بھیجتے,bheijte
دکھتے,dikhte
کرواتے,krwate
کھلاتے,khilate
سمجھتے,samjhate
بھولتے,bhoolte
بلاتے,bulate
کھوتے,khote
چھوڑتے,chordte
بنواتے,banwate
پکواتے,pakwate
دلواتے,dhulwate
نہلاتے,nehlate
لکھواتے,likhwate
سلاتے,silate
کٹواتے,katwate
سناتے,sunate
لیٹتے,leitte
پہنچا,pohancha
سمبھال,sambhal
خرید,khareed
لے,le
چھپا,chupa
بانٹ,baant
باندھ,bandh
گھور,ghoor
دے,de
گزار,guzar
ڈھونڈ,dhoond
ہو,ho
چیخ,cheekh
منا,mana
مل,mil
گر,gir
سکھا,sikha
لگا,laga
پھینک,phaik
ہار,har
دھکیل,dhakail
کھینچ,khainch
پھسل,phisal
پکڑ,pakard
نچوڑ,nachord
چھو,choo
بنا,bana
کاٹ,kaat
مڑ,murd
رکھ,rakh
کھیل,khail
چل,chal
لپیٹ,lapait
چھیل,cheel
کر,kr
پھنس,phans
ڈر,dar
لٹکا,latka
کھجا,khuja
گھس,ghus
اٹھا,utha
بیٹھ,bhaith
جھک,jhuk
اڑ,urd
بہ,beh
سل,sil
مار,mar
چبا,chaba
نگل,nigal
چوس,choos
کھود,khod
ٹکرا,takra
ٹھہر,thehar
پھیل,phail
ڈوب,doob
جھٹک,jhatk
کھول,khol
پلٹا,palata
پلٹ,palat
پھیلا,phela
تیر,tair
چھڑک,chiradk
پرکھ,prakh
لڑ,lard
بہکا,behka
مانگ,mang
ابال,ubal
موڑ,mord
لا,la
جن,jan
دیکھ,deikh
شرما,sharma
کھل,khil
جل,jal
جلا,jala
دھندلا,dhudla
کس,kas
جتا,jata
پوچھ,puch
جگا,jaga
سراہ,srah
ٹال,taal
بچ,baich
جاگ,jag
بغش,bakhash
کھا,kha
پی,pi
دھو,dho
نہا,naha
پڑھ,pardh
پڑھا,pardha
سیکھ,sikh
سیکھا,sikha
لکھ,likh
پکا,paka
سو,so
جا,ja
کہ,keh
بیچ,baich
بھاگ,bhag
اٹھ,uth
سن,sun
رہ,reh
بول,bol
آ,aa
جیت,jeet
سمجھا,samjha
بتا,bata
بھیج,bheij
دکھ,dikh
کروا,krwa
کھلا,khila
سمجھ,samjha
بھول,bhool
بلا,bula
کھو,kho
چھوڑ,chord
بنوا,banwa
پکوا,pakwa
دلوا,dhulwa
نہلا,nehla
لکھوا,likhwa
سلا,sila
کٹوا,katwa
سنا,suna
لیٹ,leit
پہنچاؤں,pohanchaun
چھپاؤں,chupaun
مناؤں,manaun
سکھاؤں,sikhaun
لگاؤں,lagaun
چھوؤں,chuun
بناؤں,banaun
لٹکاؤں,latkaun
کھجاؤں,khujaun
اٹھاؤں,uthaun
چباؤں,chabaun
ٹکراؤں,takraun
پلٹاؤں,paltaun
پھیلاؤں,phelaun
